seed        quantity        minAltitude
2880930400  17599561        1561682361
549922357   200746426       599659483 (only processed 196000000 seeds)
1378552684  43534336        1454087977
155057073   56546377        2007594035
824205101   378503603       1848709689 (only processed 205000000 seeds)
3139914842  1092214826      670748256 (only processed 176000000 seeds)
1678376802  130912435       78775051
2685513694  137778160       540180022
2492361384  188575752       310669409 (only processed 174500000 seeds)
2989476473  58874625        115705031
